image_path,distractor_1,distractor_2,ar
12487.jpg,I should buy a blackberry phone because it's summer,I should buy new accessories because I have a Blackberry phone,I should buy a blackberry phone because they are on sale
53258.jpg,I should use Estee Lauder cleanser because it keeps my eyes close,I should use my hands to wash my face because Estee Lauder is great,I should use Estee Lauder cleanser because it cleans instantly.
110763.jpg,I should buy the mini oreos because they make excellent bookmarks,I should buy a new mini pencil because I can get a big Oreo for free,I should buy the mini oreos because even though their little i will love them.
103270.jpg,I should have a Pepsi because then my boyfriend will get me tulips,I should have a Pepsi to drink because yellow tulips think young,I should have a Pepsi to drink because a pepsi will quench my thirst.
4827.jpg,I should wear Banana Republic green pants because they are perfect to hit the road ,I should wear long hair and a bag because I like to eat bananas,I should wear Banana Republic clothes because it will take me on great adventures.
46779.jpg,I should buy these clothes because modern skinny jeans make me laugh ,I should buy this stone necklace because it is perfect for my hair ,I should buy these clothes because i will look very fashionable n them.
25799.jpg,I should chew this gum because yellow sticks are made in Dubai,I should chew this stick of gum because it helps Arab men to climb a tower,I should chew this gum because it brings peace between enemies
166070.jpg,I should see the movie Charlie and the Chocolate Factory because it is my mini factory,I should see the movie because Charlie is building a Chocolate Factory and a bar,I should see the movie Charlie and the Chocolate Factory because chocolate is delicious 
95717.jpg,I should buy Hellman's because lemon can clean my bbq,I should buy Hellman's because garlic is effective to spark up the bbq,I should buy Hellman's because these products can spiff up my bbq.
135022.jpg,I should not smoke cigarettes because they are 60 centimeters long ,I should not smoke cigarettes because the ruler shows how long you can smoke ,I should not smoke cigarettes because it shortens life.
176325.png,I should buy this product because I work in a professional studio,I should buy this product because red lips are pure ,I should buy this product because it will feel luxurious.
173348.png,I should buy Toby because the country is full of cream ,I should buy Toby because gloves keep me warm ,I should buy Toby because it is healthy yogurt. 
69651.jpg,I should buy the Insight car from Honda because everyone likes to recharge batteries,I should buy the Insight car from because everyone can easily park Honda white cars,I should buy the Insight car from Honda.  because it is a hybrid and everyone would like it.
150320.jpg,I should shop at Trader Joes because they have 4 sweet raspberries,I should shop at Trader Joes because chocolate is sweet only after 4 bites,I should shop at Trader Joes  because they have sweet treats 
29087.jpg,I should get this rolex because Swiss men like to go snorkeling ,I should get this rolex because Luis Marden lost his watch in the sea,I should get this rolex because the people that wear it are real men
175897.png,I should go to Burger King because my eyelashes need a new look ,I should go to Burger King because tasty burgers must look like these eyelashes,I should go to Burger King not only does their food taste great but it also looks good.
80689.jpg,I should buy Renault Ketchup because Ferrari won the F1 race ,I should buy Renault Ketchup because tomatoes last longer in glass bottles  ,I should buy Renault Ketchup because its yellow and not red
148135.jpg,I should advertise with Punjab Kesari because they have a new book,I should advertise with Punjab Kesari because I can classify my mail daily,I should advertise with Punjab Kesari because i can book it online.
53347.jpg,I should buy eye lift creme because I want a new life for my fishing rod ,I should buy eye lift creme because I enjoy a sleeveless look ,I should buy eye lift creme  because my eyes need a lift
78955.jpg,I should buy this camera because I enjoy baseball matches ,I should buy this camera because I can keep it on the grass,I should buy this camera because it captures color realy well
156338.jpg,I should purchase chic perfume because I always fly with a private jet,I should purchase chic perfume because I only wear black dresses ,I should purchase chic perfume because i can wear it with style
141711.jpg,I should buy Heinz tomato ketchup because it makes chopped meat smile ,I should buy Heinz tomato ketchup because I've found a barbecue steak in my kitchen ,I should buy Heinz tomato ketchup.  because they can go with five delicious recipes. 
175179.png,I should buy this product because I need a cleaner ,I should buy this product because golf players drive Volkswagen cars ,I should buy this product because of it's impressive engine.
172897.png,I should buy Eurovmy cosmetics because rainy days are brightening ,I should buy Eurovmy cosmetics because I find it comforting ,I should buy Eurovmy cosmetics because they are dramatic
173802.png,I should buy a Nissan because football players do the hard work,I should buy a Nissan because I can park it right in front of the villa ,I should buy a Nissan because I would be envy of others.
126238.jpg,I should travel on rolls royce airlines because Canada is a military power ,I should travel on rolls royce jets because they have chosen nuclear propulsion ,I should travel on rolls royce airlines because it makes me more important than i really am.
80425.jpg, should wear Kenneth Cole Fragrances because the mankind is in evolution, should wear Kenneth Cole Fragrances because I want to be a star ,I should wear Kenneth Cole Fragrances because they will associate me with style.
13117.jpg,I should buy buy the BMW motorcycle because I can ride it without a t-shirt ,I should buy buy this BMW motorcycle because service centers nearby replace yellow wheels ,I should buy buy the BMW motorcycle because i can ride at the 35th moa rally.
108932.jpg,I should buy Jell-O products because I am crazy about tomatoes,I should buy Jell-O products because ads with beautiful cakes are reliable ,I should buy Jell-O products.  because they will help me make good tasting gelatin. 
57775.jpg,I should get this truck because I can skip ads ,I should get this truck because it is loading videos ,I should get this truck because it is powerful
94357.jpg,I should learn more about the new products Max Factor has for me because I will have new ideas on beautiful women ,I should learn more about the new products Max Factor has for me because I can create beautiful earrings and style my hair ,I should learn more about the new products Max Factor has for me because if i do i'll be as beautiful and vibrant as this woman and know all her secrets.
33163.jpg,I should buy these cosmetics because it's five o'clock ,I should buy these cosmetics because cover girls sleep at five o'clock,I should buy these cosmetics because they last a long time.
11079.jpg,I should drink Absolut because tattoos restrain alcohol ,I should drink Absolut because restraint is a male value ,I should drink Absolut because i like freedom of expression.
77099.jpg,I should buy a Jessica Simpson perfume because butterflies are fancy,I should buy a Jessica Simpson perfume because smiles always fancy me ,I should buy a Jessica Simpson perfume because i like jessica simpson.
92908.jpg,I should buy and eat mars bars because playing football requires running backwards ,I should buy and eat mars bars because they will help build rear view mirrors ,I should buy and eat mars bars because they will make me more energetic
155139.jpg,I should get a new bed because I can save up to 65%,I should get a new swimsuit because I can save up 65% for a limited time,I should get a quote on resorts because you can save up to 65% off.
80795.jpg,I should try Shangrila variety packs because it will make tomatoes grow faster,I should try Shangrila because the sauce is great for pizza,I should try Shangrila variety packs because it can add a boost of flavors to your recipes.
111381.jpg,I should use Ludlum because the company makes fine old maps,I should use Ludlum maps because they are made of steel,I should use Ludlum Steel because the company has been around and it is reliable
29851.jpg,I should drink Coke because tins are easy to open,I should drink Coca Cola because I will get tired of it,I should drink Coke because it will be refreshing.
155331.jpg,I should use Delta Airlines because Florida has woods,I should use Delta Airlines because I like playing volleyball,I should use Delta Airlines because it can take me lots of places.
54432.jpg,I should shop at Sprout's because peaches are sweet on Wednesdays,I should shop at Sprout's because walnuts are organic,I should shop at Sprout's because they have good sales.
3204.jpg,I should read DC Comics because Superman will save me,I should read DC Comics because they have a magazine about a t-rex,I should read DC Comics because they produce quality materials
130621.jpg,I should go to the Beauty Studio because they talk about brushes,I should go to the Beauty Studio because my hair will look shiny,I should go to the Beauty Studio because it will make me look good
110851.jpg,I should buy Oreo's because they make great sandwiches,I should buy Oreo's because children like magic,I should buy Oreo's because then i can make friends. 
94219.jpg,I should shop at sears because I will get free gifts,I should shop at sears because they have 76 year old napkins,I should shop at sears because it is having a good sale.
171400.png,I should shop at Duram's Early Bird Special because they have second-hand bicycles,I should shop at Duram's Early Bird Special because I like kayaking,I should shop at Duram's Early Bird Special in order to stock up on my camping and outdoor needs.  
88913.jpg,I should buy a car because Abraham Lincoln is great,I should by a Lincoln LS because black cars are faster than BMWs,I should by a Lincoln LS because it has great handling and performance.
115497.jpg,I should drink this soda because the USA are bigger and better,I should drink Pepsi-Cola because it is ok,I should drink this soda because its better and bigger
49821.jpg,I should buy the latest Asus laptop because playing the piano is incredible,I should buy the latest Asus laptop because I can put it in a cage and play with it,I should buy the latest Asus laptop line because the sound system has been amped up from the former models of laptops.
23766.jpg,I should purchase Chanel because purple and yellow match perfectly,I should purchase Chanel because I want to visit London,I should purchase Chanel because it bold and in style
77294.jpg,I should buy this makeup because it tastes like sugar and spice,I should buy this makeup because blonde girls like mistletoe,I should buy this perfume.  because it will make me the right amount of naughty and nice. 
52854.jpg,I should buy a Sony Ericsson because it's waterproof,I should buy a new Sony Ericsson because I like blue t-shirts,I should buy a new Sony Ericsson because it will make me cool.
24660.jpg,I should buy a chevrolet because powerful surprises happened in 68,I should buy a chevrolet because it is easy to park next to a garden,I should buy a chevrolet because they have a number of new models i may like
89975.jpg,I should wear Celine Dion perfume because I like swings,I should wear this dress because Celine Dion looks good,I should wear Celine Dion perfume because it is fresh and fun.
96093.jpg,I should buy a Mazda lamp because it will make me stronger,I should buy a Mazda lamp because it's good for my heart,I should buy a Mazda lamp because it lasts longer
17358.jpg,I should buy Aspire One Netbook because it will make me invisible,I should buy this Internet router because Acer makes invincible laptops,I should buy aspire one netbook because the services will race ahead.
137714.jpg,I should drink milk because otherwise I will be misinterpreted, I should drink milk because everything I do is wrong,I should drink milk because it will make me feel better 
126515.jpg,I should buy this model Rolls Royce because it will send the silver ghost away,I should buy this model because the most famous people drive Rolls Royces,I should buy this model Rolls Royce because it's an authorized model of the most famous rolls royce
70439.jpg,I should bank with HSBC because women from Iran like American films,I should bank with HSBC because they film women in unexpected places,I should bank with HSBC because they will work with the less fortuanate.
24619.jpg,I should drive a Chevrolet Chevelle because horses know how well it rides,I should drive a Chevrolet Chevelle because I like to collect stones by the river,I should drive a Chevrolet Chevelle because the full coil suspension will give me a comfortable ride
73351.jpg,I should buy IBM because I like cloudy days,I should buy IBM because clouds will personalise my laptop,I should buy IBM products because they have a lot of features.
176715.png,I should buy this smartphone because I like exploring the galaxy,I should buy this smartphone because I will get a big pen,I should buy this product to keep up with the latest cell phone.
173484.png,I should buy this product because I like yellow cans,I should buy this drink because I can kick the can afterwards,I should buy this product cause the caffeine guarantees a kick.
3641.jpg,I should stop smoking because I want a quick help,I should stop smoking because bullets are slow,I should stop smoking because it is slowly killing me.
21810.jpg,I should fund NHS because red buses keep me sane,I should fund the EU because NHS will remain sane,I should fund NHS because we should take back control
160238.jpg,I should purchase a Volvo xc90 because I like red seats,I should purchase a Volvo xc90 because polestar seats are a force,I should purchase a Volvo xc90 because it is a powerful car
166518.jpg,I should buy the gum because Halloween has a great value,I should buy the gum because I will be a clown for Halloween,I should buy the gum because it is a favorite and great value
14893.jpg,I should celebrate the national rotisserie chicken day because I like a bonfire,I should celebrate June 2nd because I can burn my chicken,I should celebrate June 2nd  because it is national rotisserie chicken day 
44417.jpg,I should join this program because I like flying over North America,I should join this program because planes play with a ball,I should join this program because they represent america
93507.jpg,I should try karate because leaders of tomorrow always take trial courses,I should try a trial course of Karate because my child will take advantage of leaders,I should try a trial course of Karate because it will help my child be a leader and build self esteem
142518.jpg,I should get some lipstick because my new uniform has arrived,I should get some lipstick because it was created during the French Revolution,I should get some lipstick because it will make my lips look beautiful.
174517.png,I should shop at Sephora because Elizabeth Jacobs is glamorous,I should shop an eye pencil because Sephora wears a striped t-shirt,I should shop at Sephora because of all of the great beauty products they have.
140952.jpg,I should use Manhattan Mini Storage because I will get radiation from outer space,I should use Manhattan Mini Storage because I will see stars in the outer space,I should use Manhattan Mini Storage because it will help me fell more organized.
123264.jpg,I should buy RC products because cherries are good for my diet,I should buy RC products because two bottles are better than one,I should buy RC products because they have different sorts of sodas.
128983.jpg,I should buy Samsung Corby because I'm going to a festival,I should buy Samsung Corby because Jamaican smartphones are orange,I should buy Samsung Corby because they come in fun colors on their cases.
177879.png,I should rent mini storage unit because I like my wife and kids.,I should rent clothes because I like to dress up.,I should rent  mini storage unit because I am running out of room for all of my stuff.
43805.jpg,I should try to capture my own alien because I tried the new men in black ice coffee and undercover cocoa donut.,I should try the new men in black ice coffee and undercover cocoa donut because it gives me tentacles.,I should try the new men in black ice coffee and undercover cocoa donut because i can eat them.
39286.jpg,I should buy Dior because my twin likes it.,I should buy Dior because it'll make my hair blond.,I should buy Dior because it'll make me glamourous
47299.jpg,I should get an apple armband because I live in California.,I should get an apple because it loves to run.,I should get an apple armband because i like to run
87744.jpg,I should wear Levi's jeans because they are made of leather.,I should wear copper rivets because they are made by Levi's., I should wear Levi's jeans   because they are a quality brand 
69608.jpg,I should buy a Honda accord because it is much too expensive.,I should buy a sweetheart because they are good at driving.,I should buy a Honda accord because they have a quality car with tons of rave reviews
153939.jpg,I should use diamond t because its on fire.,I should use diamond t because I am a phoenix.,I should use diamond t because its reliable
144306.jpg,I should shop with my husband because that is classic.,I should shop at Talbots because they sell bushes.,I should shop at Talbots because i will look classy.
110017.jpg,I should get an Oldsmobile because it knows the way.,I should get an Oldsmobile this year because it is a great motorcycle.,I should get an Oldsmobile because it is stylish.
149189.jpg,I should get brunswick because it is a great airline.,I should get brunswick because it is a beautiful beach.,I should get brunswick because it will help me relax
832.jpg,I should buy BVLGARI because it helps me to swim.,I should buy BVLGARI because it makes my hair long.,I should buy BVLGARI because it makes me sexy
16608.jpg,I should shop at this store because they sell christmas garments.,I should shop at this store because they sell catalogues.,I should shop at a this store because they have many items.
113929.jpg,I should buy this razor because it'll make me trendy.,I should buy this phone because it is signed.,I should buy this phone because it'll make me trendy
34486.jpg,I should take a cruise to the Orient on American President cruise lines because it would be great to sail on a small boat and go on an adventure.,I should take a swim to the Orient through the American President ocean because the water is so nice and blue.,I should take a cruise to the Orient on American President cruise lines because it would be a great vacation/trip and they sail often so i'd have a good chance at getting the dates i want.
30040.jpg,I should drink Coca Cola because it gives me a headache.,I should drink glass because it is delicious and refreshing.,I should drink Coca Cola  because it is classic 
43729.jpg,I should drink Dunkin Donuts coffee because I love to run.,I should drink the coffee because it is made of donuts.,I should drink Dunkin Donuts coffee because a lot of other americans drink it.
160060.jpg,I should buy a Volvo because congress passed laws that tell me that I should.,I should buy a Volvo safe because it is a very good car.,I should buy a Volvo because they were the safest cars even before congress passed laws to make others safer.
93491.jpg,I should take Karate lessons here because many people are doing Karate.,I should take Karate lessons here because they wear nice white outfits.,I should take Karate lessons here because they know what they're doing
106102.jpg,I should buy this shoe because it only costs 990 dollars.,I should buy this show because it is very balanced.,I should buy this shoe because its high quality.
176302.png,I should buy this wallpaper because it is a great shade of white.,I should buy this product because it adds value to my kitchen.,I should buy this product because it will make me attractive
75386.jpg,I should buy these candies because they have hand-finished details.,I should buy these fabrics because they taste impeccable.,I should buy these fabrics because children deserve the finer things in life.
148731.jpg,I should buy a Toshiba printer/copier because it has a good logo.,I should buy a Toshiba printer/copier because it has so many buttons.,I should buy a Toshiba printer/copier  because it does multiple things 
110182.jpg,I should watch dinosaurs because they are a million years old.,I should watch this movie because it is a dinosaur.,I should watch this movie because it is mafe with a lot of new features
713.jpg,I should try this because I want to reach the sky.,I should try this because I love to swim.,I should try this because it looks great.
131182.jpg,I should fly Pan Am because it is such a beautiful hike.,I should fly Pan Am because I want to find a new world.,I should fly Pan Am because i will have a fun vacation
37435.jpg,I should fly Aero Republica because I wear pants.,I should fly like a bird because I want to.,i should fly Aero Republica because they are sophisticated.
24506.jpg,I should buy a Chevy because it is closest,I should buy a shadow because it is red,I should buy a chevy because they are fabulous
130605.jpg,I should buy Donna Karan because they can fix my teeth,I should buy nail polish because Donna Karan likes it,I should buy Donna Karan makeup because it has bold lipstock colors.
63902.jpg,I should buy a new carpet because I can sleep on it,I should buy a metro ticket because I can travel with a bag,I should buy this brand because it will make me attractive.
27473.jpg,I should bring popcorns to the movies because they taste great with milk,I should bring my mom to the movies because she loves theatres,I should bring my baby to the movies with me because the baby gets in for free.
84261.jpg,Buy new extensions because they are shocking,Buy a good girl because she'll look away,BUY THIS MAKEUP because it makes you pretty
14792.jpg,I should buy this aromatherapy treatment because il will be absolutely imported,I should buy Absolut Vodka because it has an imported twist-off cap,I should buy Absolut Vodka because i feel relieved the moment i smell it.
95529.jpg,I should go to a field because I can see a giraffe,I should go to the zoo during springtime because of blue skies,I should go to the zoo because i can see giraffe
2045.jpg,I should consider caring about my pretzels because Auntie Anne likes them,I should consider repeating my lemonade because I can share it with Anne,I should consider Auntie Anne's for snack time because i can enjoy this with my boyfriend.
24917.jpg,I should drive a Chevrolet because it likes camping,I should drive in the woods because it is beautiful,I should drive a Chevrolet  because it is for a good price
47419.jpg,I should purchase an apple because it tastes great and can play music for 20 minutes,I should purchase an umbrella because it combines amazingly compact size and high performance,I should purchase an apple iPod because it gives a great performance while being able to be used anywhere due to it's compact size.  
81409.jpg,I should eat a bearded man because it is freshly prepared,I should eat fresh chicken because I hate KFC,I should eat at KFC because their food is freshly prepared
51044.jpg,I should buy my baker because I can eat him for breakfast,I should buy bermaline bread because of its deep knowledge of flavour,I should buy bermaline bread because it is delicious and the best value.
138864.jpg,I should use fire because it will make my car faster,I should use Sprint because it will make me beautiful,I should use Sprint because it is reliable.
9604.jpg,I should drink with a straw because I will look classy,I should drink coral nail polish because grapette looks away,I should drink Grapette because it is delicious.
98816.jpg,I should buy a chair for my dog Milo because be loves to sit on black leather and stand out,I should buy an original Milo Chair at Crate & Barrel because it is very confident and a talented designer,I should buy a Milo Chair at Crate 7 Barrel because this chair fits your style and is waiting at the store just for you to find and buy it.
1201.jpg,I should buy this car because it is a great thinker,I should buy a small car because I like thinking,I should buy this car because its small and costs less.
99765.jpg,I should shop for every lifestyle because CarKhajana fits for me,I should shop for a lineup of vehicles because it's part of my lifestyle,I should shop at CarKhajana because they will have a car for me
82275.jpg,I should buy cranberry seeds because they are excellent for orange juice,I should buy Kiehl's oranges because they can defend me from my skin,I should buy Kiehl's because it can make my skin look healthier than ever before.
175025.png,I should wear a shop because now I can have it for $120,I should wear two coats because I need them now,I should wear these coats because the price has been reduced.
60710.jpg,I should trust doctors because they can look at my future and be very imaginative when it comes to their work,I should trust my imagination because it will help he put my finger in a piece of paper with relevant information about genes,I should trust GE when it comes to my healthcare because it allows doctors to do more with the information they receive and this will help me live longer.
11360.jpg,I should shop for compostable groceries because they are just better,I should grocery shop at Safeway because I am allergic to salmon and steaks,I should grocery shop at safeway because it has the best deals.
8680.jpg,I should buy a trunk because I can go on a date with a pheasant,I should buy a gun for my pheasant because it has a cleaning kit,I should buy a gun because it's good for hunting.
52512.jpg,I should get a red stamp on my documents because otherwise I'll get killed,I should get a killer because my stapler leaves red marks on my documents,I should get this stapler because it's heavy duty.
95837.jpg,I should buy a race because cars can win it,I should buy some stickers for my Mazda because it will look cool,I should buy a mazda because they are a winning performance car
86081.jpg,I should buy a perfect body because it will give me the perfect coverage,I should buy this collection because I can explore the perfect fit,I should buy these underwear because they will give me the perfect body.
131296.jpg,I should keep wearing my astronaut costume because you never know when you're going to need it,I should keep adhesives and staples at hand because I may need them on the moon,I should keep scotch tape on hand at all times because you never know when you're going to need it. 
81771.jpg,I should buy a Kia because it makes excellent plots,I should buy 7 Kias because I can drive them on a rainbow,I should buy a Kia because it is economical and fun.
119976.jpg,I should buy and Land Rover because it can fold pages,I should buy the new 2007 defender because it pulls doors,I should buy and Land Rover because it has more towing power.
119227.jpg,I should buy a Porsche because I am a rational and boring person,I should buy a Porsche because it will feel like a black and white movie,I should buy a new Porsche because it is just the thing to do.
34327.jpg,I should go to Okinawa because I will be captivated by evil monkeys,I should go to Okinawa because you will fall in love with a seductive woman,I should go to okinawa because they have beautiful sites
173483.png,I should buy the new fragrance for me because I feel guilty,I should buy these makeup products because they'll make my eyes big,I should buy this product because it attracts the opposite sex.
13108.jpg,I should get a BMW because they are great for splashing water around,I should get a vacation in Bavaria because they have great cars,I should get a BMW because they are fast
173837.png,I should go on holiday in Great Britain because I can be a guest for 9 days,I should go on British Railways because they can take me to New York and Chicago,I should go on British Railways because it's a nice but economic way to travel.
6226.jpg,I should use a roll to paint my walls because I want to make them blue,I should use Barclays bank because I want to spend all of my savings,I should use Barclay's bank for a home loan.  because they make it affordable.
44879.jpg,I should eat homemade vegan food because it will not give me joy,I should eat chocolate cookies because Almond Joy loves them,I should eat Almond Joy because i like almonds.
26788.jpg,I should stop checking my weight because I like being chubby,I should stop wearing my Chipotle pants because they weigh 40 pounds,I should stop eating Chipotle because it can cause me to gain 40 pounds
122888.jpg,I should buy a RCA vacuum cleaner because it loves thunderstorms,I should buy a noiseless tube because it is inside America,I should buy a RCA radio tube because it will improve my listening experience.
170291.png,I should try tris new makeup because it will make me look tasty,I should try Burger King because my eye is like a burger,I should try Burger King because they have a tasty new flavor.
171923.png,I should buy these chocolates because successful parties need pyramids ,I should buy these chocolates because they are made of 60 stars ,I should buy these chocolates to make my party a success.
52494.jpg,I should support efforts to stop deforestation because otherwise big clouds are the prelude to a catastrophe ,I should support Greenpeace because some people are trying to stop the pruning of big trees,I should support efforts to stop deforestation because it is the equivalent of a nuclear war on forests
144593.jpg,I should eat at texas brazil because pork and chicken taste better on Father's Day,I should eat at texas de brazil because they know how to grill flowers with beef,"I should eat at texas brazil because father's day, fathers eat free"
102139.jpg,I should use aluminum foil because dogs are protective ,I should use aluminum foil because it is a detergent ,I should use aluminum fool because it's protective
52631.jpg,I should recycle because e-waste can be used to lift weight in a beach in India,I should recycle because cycling over 1800 electronic goods sounds great ,I should recycle because discarded refuse can be used to build a land bridge to an island located off shore
25607.jpg,I should buy Heinz beans because five kinds of tomatoes fit well on a plate ,I should buy Heinz beans because I can save 50% of my budget by using a wooden spoon ,I should buy Heinz beans because they taste good and there are five kinds to choose from.
159147.jpg,I should drive this car because King Milana likes baloons, I should drive this car because it will make me the emperor of red cars,I should drive this car because it can make me happy
170956.png,I should buy this product because it is as cold as stone,I should buy this product because I can get free caramel ,I should buy this product because i can get one free
45800.jpg,I should release dolphins because they do not like flash lights,I should release dolphins because they are voiceless on stage ,I should release dolphins  because we should save them 
95488.jpg,I should use Blue Crystal Shampoo because it makes soap bubbles ,I should use Blue Crystal Shampoo because it will make me a lucky person,I should use Blue Crystal Shampoo because i can win a prize.
120073.jpg,I should buy Pringle products because lambs are free in sunny Scotland ,I should buy Pringle products because rocks in Scotland are 100% white ,I should buy Pringle products because they are made of 100% lambs wool.
95142.jpg,I should buy watershine pure because New York has beautiful parks and girls ,I should buy watershine pure because it will make my place purer in color and shine,i should buy watershine pure because it will make my lips plump and juicy
84482.jpg,I should use this makeup because it will make my hair as black as carbon,I should use this makeup because I have telescopic eyes,I should use this makeup because sexy people do.
87476.jpg,I should buy a lenovo tablet because I feel as cool as this girl,I should buy a lenovo tablet because it is twice as fast as Windows 7,I should buy a lenovo tablet because i can use it as a tablet or a laptop.
151755.jpg,I should wear this because my nose will look much younger,I should wear this because it will soon go out of fashion,I should weear this  because i want to be confident
37389.jpg,I should get this computer because holidays are part of my business,I should get this computer because it has an extended calendar,I should get this computer because its hassle free
98384.jpg,I should drink Miller High Life because I am high on life,I should drink Miller High Life because I feel off,I should drink Miller High Life because it is tasty.
122838.jpg,I should buy that victrola because I am in a hurry to record my album,I should buy that victrola because brand new songs are in black and white,I should buy that victrola because i can listen to good music
13399.jpg,I should buy this product because it doesn't run on Google,I should buy this product because I am searching for gears ,I should buy this product because it is powerful.
135502.jpg,I should buy snickers because I often get confused at the beach ,I should buy snickers because yellow swimsuits are good in photos,I should buy snickers because being hungry leads to mistakes
104649.jpg,I should eat crunch because I like challenges,I should eat crunch because both red and blue teams eat it ,I should eat crunch because they have different flavors
159200.jpg,I should invest in a volswagen because I am the owner of the world ,I should invest in a volswagen because it is superb for families,I should invest in a volswagen because it is a desired brand.
84957.jpg,I should buy Lancome because natural lashes vibrate at night,I should buy Lancome because its primer is made in Paris,I should buy Lancome because i want to be like the pretty model.
65667.jpg,I should buy Hanes too panty hose because red heels make a big difference ,I should buy Hanes too panty hose because I can walk 2.50x faster with long legs,I should buy Hanes too panty hose because they are inexpensive and feel great.
106917.jpg,I should buy these shoes because walking barefoot in the 21st century is trendy,I should buy these shoes because I have to pass though the desert for the 21st time  ,"I should buy these shoes because these shoes are so great, barefoot tribal people want to wear them."
125293.jpg,I should stay at Hill Side resort because they serve breakfast in the swimming pool,I should stay at Hill Side resort because internet hotspots are expensive,I should stay at Hill Side resort because they have great prices.
54089.jpg,I should buy a pineapple because it makes nice music.,I should buy fanta pop because it listens to music.,I should buy fanta pop because the taste is like music to your ears.
112447.jpg,I should use Edmonds cooking products because they are great for dancing.,I should use Edmonds cooking products because they really enjoy cooking.,I should use Edmonds cooking products because they make cooking a pleasure.
